number,status,operator,company_name,gateway_id,provisioned_date,number_type
6249373849,active,BSNL,Xenon Telecom Ltd,2307,2024-03-24,promotional
7306146759,inactive,IDEA,Xenon Telecom Ltd,2307,2023-07-03,transactional
9490831209,active,Jio,Yield Agritech Pvt Ltd,2385,2025-08-02,promotional
7533953929,inactive,Airtel,Yield Agritech Pvt Ltd,2385,2025-10-02,transactional
6378381214,inactive,Jio,Yield Agritech Pvt Ltd,2385,2024-04-10,promotional
9690903385,inactive,TATA,Yield Agritech Pvt Ltd,2385,2024-11-04,promotional
6355180273,active,Jio,Yield Agritech Pvt Ltd,2385,2024-07-06,promotional
7610917233,active,IDEA,Yield Agritech Pvt Ltd,2385,2023-07-03,did
6863891400,suspended,TATA,Zenith Hotels Ltd,2426,2023-05-28,transactional
6810536334,active,Airtel,Zenith Hotels Ltd,2426,2024-07-12,promotional
8428659421,active,TATA,Zenith Hotels Ltd,2426,2023-02-09,Toll free
9496762096,active,Jio,Zenith Hotels Ltd,2426,2023-06-25,transactional
9375701420,active,TATA,Zenith Hotels Ltd,2426,2025-01-19,promotional
9473783465,inactive,Airtel,Zenith Hotels Ltd,2426,2025-12-30,promotional
6782314375,active,Jio,Aurora Fashion Pvt Ltd,2490,2024-06-19,promotional
6566421295,active,IDEA,Aurora Fashion Pvt Ltd,2490,2023-07-29,promotional
9656300028,suspended,Airtel,Aurora Fashion Pvt Ltd,2490,2025-02-08,promotional
6785259823,inactive,IDEA,Aurora Fashion Pvt Ltd,2490,2025-11-22,Toll free
8924093076,active,IDEA,Aurora Fashion Pvt Ltd,2490,2024-06-02,promotional
7123002408,active,TATA,Aurora Fashion Pvt Ltd,2490,2023-08-24,promotional
9359369908,active,IDEA,Beacon Legal Services Ltd,2569,2023-12-26,did
6105701183,inactive,Airtel,Beacon Legal Services Ltd,2569,2023-04-07,promotional
8282798105,active,BSNL,Beacon Legal Services Ltd,2569,2023-06-27,Dedicated Missed call
8120192404,active,Jio,Beacon Legal Services Ltd,2569,2024-01-14,Dedicated Incoming SMS
9464320325,active,IDEA,Beacon Legal Services Ltd,2569,2023-03-25,Dedicated Incoming SMS
8404927847,active,TATA,Beacon Legal Services Ltd,2569,2024-03-24,Dedicated Missed call
6445731833,active,TATA,Beacon Legal Services Ltd,2569,2023-01-07,transactional
9280314200,inactive,BSNL,Cobalt Manufacturing Pvt Ltd,2617,2025-04-09,promotional
6227352381,inactive,Jio,Cobalt Manufacturing Pvt Ltd,2617,2024-11-07,transactional
6863428204,inactive,BSNL,Cobalt Manufacturing Pvt Ltd,2617,2024-06-15,Dedicated Missed call
8626792582,inactive,TATA,Cobalt Manufacturing Pvt Ltd,2617,2023-07-06,transactional
7253863025,active,BSNL,Cobalt Manufacturing Pvt Ltd,2617,2025-05-21,transactional
6938198212,active,Jio,Cobalt Manufacturing Pvt Ltd,2617,2025-08-29,Dedicated Missed call
7416039034,active,BSNL,Cobalt Manufacturing Pvt Ltd,2617,2024-06-10,transactional
6820486225,suspended,TATA,Drift Mobility Ltd,2708,2025-02-19,promotional
7146663227,inactive,Airtel,Drift Mobility Ltd,2708,2025-04-25,transactional
9845549843,inactive,TATA,Drift Mobility Ltd,2708,2025-10-18,Toll free
9226105881,inactive,Jio,Drift Mobility Ltd,2708,2025-02-14,promotional
7655220828,active,Airtel,Drift Mobility Ltd,2708,2024-05-26,Toll free
7233760634,active,IDEA,Cobalt Manufacturing Pvt Ltd,2775,2025-09-11,Toll free
9502599965,active,Airtel,Cobalt Manufacturing Pvt Ltd,2775,2025-01-30,Toll free
6884071790,active,IDEA,Cobalt Manufacturing Pvt Ltd,2775,2023-02-07,transactional
6492444711,active,Jio,Cobalt Manufacturing Pvt Ltd,2775,2025-08-29,Toll free
8698971547,inactive,Jio,Kinetic Sports Pvt Ltd,2808,2025-04-11,promotional
6198191061,active,TATA,Kinetic Sports Pvt Ltd,2808,2025-12-25,transactional
6487667608,suspended,Jio,Kinetic Sports Pvt Ltd,2808,2025-11-15,transactional
8195443292,active,TATA,Kinetic Sports Pvt Ltd,2808,2025-12-30,promotional
8445279330,active,Jio,Kinetic Sports Pvt Ltd,2808,2025-03-27,Toll free
7392548431,inactive,BSNL,Kinetic Sports Pvt Ltd,2808,2025-04-11,transactional
7650214670,active,Jio,Zenith Hotels Ltd,2831,2023-03-03,did
7310936970,active,Airtel,Zenith Hotels Ltd,2831,2024-04-11,promotional
6186723258,active,IDEA,Zenith Hotels Ltd,2831,2024-09-02,Dedicated Missed call
7318577253,active,TATA,Zenith Hotels Ltd,2831,2024-02-25,Toll free
6848842393,active,Jio,Lumen Energy Ltd,2894,2024-09-06,Toll free
6371454421,active,IDEA,Lumen Energy Ltd,2894,2023-07-06,transactional
8848563740,active,BSNL,Lumen Energy Ltd,2894,2024-04-14,transactional
6194785909,active,TATA,Lumen Energy Ltd,2894,2023-12-23,promotional
7648533973,inactive,IDEA,Lumen Energy Ltd,2894,2024-07-17,promotional
9512273930,inactive,Jio,Lumen Energy Ltd,2894,2025-11-16,transactional
9470363810,active,IDEA,Nimbus Cloud Services Ltd,2944,2023-12-25,transactional
9718699678,active,Jio,Nimbus Cloud Services Ltd,2944,2025-09-30,transactional
8999134080,active,TATA,Nimbus Cloud Services Ltd,2944,2023-09-27,did
6208629980,inactive,IDEA,Meridian Insurance Pvt Ltd,3001,2025-02-28,transactional
8408195494,active,BSNL,Meridian Insurance Pvt Ltd,3001,2023-01-06,transactional
9851951951,active,IDEA,Meridian Insurance Pvt Ltd,3001,2023-11-27,promotional
6894302124,active,TATA,Meridian Insurance Pvt Ltd,3001,2023-08-12,transactional
8232969450,active,Jio,Meridian Insurance Pvt Ltd,3001,2024-11-20,transactional
